Source,Target,Weight
0,6,1
0,8,6
0,10,1
0,13,2
0,14,1
0,17,1
0,20,4
0,38,2
0,40,6
0,45,4
0,50,4
0,51,7
0,53,6
0,54,13
0,56,4
0,64,3
0,65,4
0,70,2
0,71,2
0,85,1
0,86,1
0,102,4
0,109,5
0,110,1
0,117,4
0,118,4
0,120,3
0,121,7
0,122,1
0,128,2
0,130,1
0,134,3
0,138,7
0,142,3
0,143,6
0,151,6
0,153,3
0,162,1
0,164,4
1,3,1
1,8,1
1,14,1
1,15,1
1,19,1
1,21,3
1,25,4
1,43,5
1,47,1
1,52,1
1,54,1
1,55,3
1,60,3
1,67,2
1,72,5
1,74,1
1,75,1
1,77,1
1,83,1
1,88,1
1,91,5
1,98,7
1,106,7
1,129,2
1,131,1
1,134,1
1,136,1
1,138,1
1,140,1
1,146,1
1,148,1
1,150,6
1,155,1
1,165,3
1,166,1
2,0,2
2,6,6
2,13,2
2,14,4
2,17,2
2,20,2
2,33,6
2,36,4
2,37,2
2,45,4
2,46,8
2,48,1
2,50,1
2,51,4
2,53,1
2,64,3
2,65,4
2,70,4
2,76,3
2,80,2
2,97,1
2,102,6
2,108,4
2,118,4
2,120,4
2,121,4
2,122,6
2,133,2
2,143,2
2,151,4
2,153,4
2,162,2
3,1,2
3,15,1
3,18,1
3,21,3
3,25,4
3,27,1
3,39,4
3,43,3
3,52,5
3,55,2
3,60,1
3,72,4
3,77,2
3,88,3
3,91,1
3,94,1
3,95,2
3,99,1
3,106,2
3,118,1
3,129,1
3,136,6
3,152,3
3,165,2
3,166,6
4,12,3
4,34,4
4,35,4
4,41,2
4,57,1
4,58,5
4,59,4
4,61,8
4,73,6
4,93,4
4,124,2
4,125,3
4,141,3
4,149,8
4,155,2
5,14,1
5,16,6
5,19,28
5,20,1
5,25,1
5,28,3
5,29,1
5,30,6
5,33,1
5,38,1
5,40,1
5,42,4
5,45,3
5,51,1
5,54,4
5,71,2
5,96,1
5,102,2
5,114,10
5,115,5
5,117,1
5,118,1
5,121,1
5,142,1
5,155,1
5,156,20
5,159,1
5,164,1
6,0,2
6,13,1
6,14,5
6,17,3
6,20,1
6,36,3
6,37,3
6,40,6
6,46,1
6,50,5
6,51,2
6,53,1
6,54,2
6,56,3
6,64,1
6,65,2
6,71,3
6,76,1
6,92,1
6,102,2
6,108,2
6,110,1
6,117,4
6,118,4
6,120,2
6,121,4
6,122,3
6,130,2
6,138,6
6,151,2
6,153,5
7,5,2
7,19,2
7,26,1
7,28,1
7,29,3
7,49,1
7,51,2
7,54,4
7,67,1
7,68,3
7,69,2
7,70,1
7,71,1
7,74,4
7,75,3
7,78,4
7,102,1
7,104,4
7,107,2
7,111,1
7,115,1
7,127,1
7,128,1
7,136,1
7,137,3
7,138,1
7,150,1
7,154,1
7,156,2
8,14,1
8,17,1
8,19,2
8,20,1
8,33,1
8,37,2
8,38,6
8,40,2
8,45,1
8,48,1
8,50,1
8,51,6
8,54,13
8,56,1
8,64,12
8,65,1
8,70,2
8,71,9
8,80,2
8,85,1
8,97,1
8,98,1
8,102,3
8,109,4
8,117,3
8,118,2
8,120,2
8,121,1
8,122,3
8,128,2
