ID,Label,Modularity
0,Albania,2
2,Andorra,2
6,Armenia,2
8,Austria,2
9,Azerbaijan,2
13,Belarus,2
14,Belgium,2
17,Bosnia and Herzegovina,2
20,Bulgaria,2
33,Croatia,2
36,Cyprus,2
37,Czech Republic,2
38,Czechoslovakia,2
40,Denmark,2
45,England,2
46,Estonia,2
48,Faroe Islands,2
50,Finland,2
51,France,2
53,Georgia,2
54,Germany,2
56,Greece,2
64,Hungary,2
65,Iceland,2
70,Israel,2
71,Italy,2
76,Kazakhstan,2
80,Latvia,2
84,Liechtenstein,2
85,Lithuania,2
86,Luxembourg,2
92,Malta,2
97,Moldova,2
102,Netherlands,2
108,North Macedonia,2
109,Northern Ireland,2
110,Norway,2
117,Poland,2
118,Portugal,2
120,Republic of Ireland,2
121,Romania,2
122,Russia,2
126,San Marino,2
128,Scotland,2
130,Serbia,2
133,Slovakia,2
134,Slovenia,2
138,Spain,2
142,Sweden,2
143,Switzerland,2
151,Turkey,2
153,Ukraine,2
162,Wales,2
164,Yugoslavia,2
