Id,Label,timeset,matches,goals_for,goals_against,wins,losses,per_win,per_loss,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,pageranks,clustering,eigencentrality,componentnumber,strongcompnum,gre
0,Albania,,188,146,365,46,142,0.244681,0.755319,4,0.45961,0.551515,69.870876,2,28,39,67,46,140,186,0.096688,0.143485,0.005594,0.576781,0.348515,0,0,0
1,Algeria,,207,352,229,126,81,0.608696,0.391304,4,0.509259,0.577778,642.399403,3,42,35,77,111,77,188,0.0476,0.052656,0.007238,0.365098,0.347286,0,0,1
2,Andorra,,111,26,339,3,108,0.027027,0.972973,5,0.428571,0.515859,6.15814,2,3,32,35,3,108,111,0.009944,0.10156,0.001351,0.572581,0.032226,0,0,2
3,Angola,,150,217,176,83,67,0.553333,0.446667,5,0.428571,0.500202,54.852724,3,29,25,54,60,62,122,0.024128,0.023887,0.004874,0.643939,0.217028,0,0,3
4,Antigua and Barbuda,,111,167,226,41,70,0.369369,0.630631,4,0.37246,0.424747,32.449719,1,11,15,26,20,59,79,0.003387,0.00461,0.002631,0.72381,0.024033,0,0,4
5,Argentina,,421,993,454,312,109,0.741093,0.258907,4,0.458333,0.528283,224.853735,0,43,28,71,312,109,421,0.097972,0.08652,0.012353,0.373303,0.62967,0,0,5
6,Armenia,,117,118,229,32,85,0.273504,0.726496,4,0.425258,0.511111,24.867852,2,18,31,49,30,83,113,0.060608,0.111224,0.003939,0.604762,0.220185,0,0,6
7,Australia,,199,584,178,143,56,0.718593,0.281407,4,0.504587,0.562121,825.503482,4,40,29,69,126,55,181,0.05099,0.062221,0.008372,0.287059,0.316781,0,0,7
8,Austria,,259,504,376,147,112,0.567568,0.432432,4,0.453297,0.545455,191.884914,2,46,37,83,144,111,255,0.150994,0.139663,0.010836,0.512458,0.666545,0,0,8
9,Azerbaijan,,106,58,258,15,91,0.141509,0.858491,4,0.429688,0.511616,21.555794,2,12,30,42,15,90,105,0.042149,0.108172,0.002648,0.610887,0.129564,0,0,9
10,Bahrain,,228,306,342,102,126,0.447368,0.552632,3,0.52381,0.575758,341.661508,5,29,30,59,92,125,217,0.033384,0.035445,0.004651,0.403509,0.180346,0,0,10
11,Bangladesh,,138,114,340,37,101,0.268116,0.731884,4,0.491071,0.559596,45.366954,5,12,32,44,26,84,110,0.009276,0.03157,0.001797,0.503788,0.036455,0,0,11
12,Barbados,,105,144,170,46,59,0.438095,0.561905,4,0.376712,0.430808,121.294943,1,11,16,27,25,43,68,0.003561,0.005773,0.002729,0.666667,0.028805,0,0,12
13,Belarus,,109,119,189,36,73,0.330275,0.669725,4,0.420918,0.509091,22.859913,2,23,32,55,36,73,109,0.079777,0.115129,0.004456,0.593792,0.258986,0,0,13
14,Belgium,,258,526,304,167,91,0.647287,0.352713,4,0.463483,0.543939,291.391004,2,55,34,89,163,90,253,0.168117,0.123502,0.014093,0.432496,0.861962,0,0,14
15,Benin,,103,112,202,35,68,0.339806,0.660194,5,0.417722,0.485556,9.303361,3,19,22,41,26,64,90,0.014716,0.019939,0.003453,0.703704,0.136866,0,0,15
16,Bolivia,,238,245,586,64,174,0.268908,0.731092,4,0.445946,0.507576,39.738787,0,11,23,34,64,174,238,0.019501,0.053251,0.004394,0.478261,0.139316,0,0,16
17,Bosnia and Herzegovina,,117,211,157,65,52,0.555556,0.444444,4,0.457064,0.529293,159.789795,2,34,28,62,63,52,115,0.102616,0.09601,0.006055,0.388605,0.361259,0,0,17
