Source,Target,Type,Id,Label,timeset,Weight,S
0,6,Directed,0,,,1,
0,8,Directed,1,,,6,
0,10,Directed,2,,,1,
0,13,Directed,3,,,2,
0,14,Directed,4,,,1,
0,17,Directed,5,,,1,
0,20,Directed,6,,,4,
0,38,Directed,7,,,2,
0,40,Directed,8,,,6,
0,45,Directed,9,,,4,
0,50,Directed,10,,,4,
0,51,Directed,11,,,7,
0,53,Directed,12,,,6,
0,54,Directed,13,,,13,
0,56,Directed,14,,,4,
0,64,Directed,15,,,3,
0,65,Directed,16,,,4,
0,70,Directed,17,,,2,
0,71,Directed,18,,,2,
0,85,Directed,19,,,1,
0,86,Directed,20,,,1,
0,102,Directed,21,,,4,
0,109,Directed,22,,,5,
0,110,Directed,23,,,1,
0,117,Directed,24,,,4,
0,118,Directed,25,,,4,
0,120,Directed,26,,,3,
0,121,Directed,27,,,7,
0,122,Directed,28,,,1,
0,128,Directed,29,,,2,
0,130,Directed,30,,,1,
0,134,Directed,31,,,3,
0,138,Directed,32,,,7,
0,142,Directed,33,,,3,
0,143,Directed,34,,,6,
0,151,Directed,35,,,6,
0,153,Directed,36,,,3,
0,162,Directed,37,,,1,
0,164,Directed,38,,,4,
1,3,Directed,39,,,1,
1,8,Directed,40,,,1,
1,14,Directed,41,,,1,
1,15,Directed,42,,,1,
1,19,Directed,43,,,1,
1,21,Directed,44,,,3,
1,25,Directed,45,,,4,
1,43,Directed,46,,,5,
1,47,Directed,47,,,1,
1,52,Directed,48,,,1,
1,54,Directed,49,,,1,
1,55,Directed,50,,,3,
1,60,Directed,51,,,3,
1,67,Directed,52,,,2,
1,72,Directed,53,,,5,
1,74,Directed,54,,,1,
1,75,Directed,55,,,1,
1,77,Directed,56,,,1,
1,83,Directed,57,,,1,
1,88,Directed,58,,,1,
1,91,Directed,59,,,5,
1,98,Directed,60,,,7,
1,106,Directed,61,,,7,
1,129,Directed,62,,,2,
1,131,Directed,63,,,1,
1,134,Directed,64,,,1,
1,136,Directed,65,,,1,
1,138,Directed,66,,,1,
1,140,Directed,67,,,1,
1,146,Directed,68,,,1,
1,148,Directed,69,,,1,
1,150,Directed,70,,,6,
1,155,Directed,71,,,1,
1,165,Directed,72,,,3,
1,166,Directed,73,,,1,
2,0,Directed,74,,,2,
2,6,Directed,75,,,6,
2,13,Directed,76,,,2,
2,14,Directed,77,,,4,
2,17,Directed,78,,,2,
2,20,Directed,79,,,2,
2,33,Directed,80,,,6,
2,36,Directed,81,,,4,
2,37,Directed,82,,,2,
2,45,Directed,83,,,4,
2,46,Directed,84,,,8,
2,48,Directed,85,,,1,
2,50,Directed,86,,,1,
2,51,Directed,87,,,4,
2,53,Directed,88,,,1,
2,64,Directed,89,,,3,
2,65,Directed,90,,,4,
2,70,Directed,91,,,4,
2,76,Directed,92,,,3,
2,80,Directed,93,,,2,
2,97,Directed,94,,,1,
2,102,Directed,95,,,6,
2,108,Directed,96,,,4,
2,118,Directed,97,,,4,
2,120,Directed,98,,,4,
2,121,Directed,99,,,4,
2,122,Directed,100,,,6,
2,133,Directed,101,,,2,
2,143,Directed,102,,,2,
2,151,Directed,103,,,4,
2,153,Directed,104,,,4,
2,162,Directed,105,,,2,
3,1,Directed,106,,,2,
3,15,Directed,107,,,1,
3,18,Directed,108,,,1,
3,21,Directed,109,,,3,
3,25,Directed,110,,,4,
3,27,Directed,111,,,1,
3,39,Directed,112,,,4,
3,43,Directed,113,,,3,
3,52,Directed,114,,,5,
3,55,Directed,115,,,2,
3,60,Directed,116,,,1,
3,72,Directed,117,,,4,
3,77,Directed,118,,,2,
3,88,Directed,119,,,3,
3,91,Directed,120,,,1,
3,94,Directed,121,,,1,
3,95,Directed,122,,,2,
3,99,Directed,123,,,1,
3,106,Directed,124,,,2,
3,118,Directed,125,,,1,
3,129,Directed,126,,,1,
3,136,Directed,127,,,6,
3,152,Directed,128,,,3,
3,165,Directed,129,,,2,
3,166,Directed,130,,,6,
4,12,Directed,131,,,3,
4,34,Directed,132,,,4,
4,35,Directed,133,,,4,
4,41,Directed,134,,,2,
4,57,Directed,135,,,1,
4,58,Directed,136,,,5,
4,59,Directed,137,,,4,
4,61,Directed,138,,,8,
4,73,Directed,139,,,6,
4,93,Directed,140,,,4,
4,124,Directed,141,,,2,
4,125,Directed,142,,,3,
4,141,Directed,143,,,3,
4,149,Directed,144,,,8,
4,155,Directed,145,,,2,
5,14,Directed,146,,,1,
5,16,Directed,147,,,6,
5,19,Directed,148,,,28,
5,20,Directed,149,,,1,
5,25,Directed,150,,,1,
5,28,Directed,151,,,3,
5,29,Directed,152,,,1,
5,30,Directed,153,,,6,
5,33,Directed,154,,,1,
5,38,Directed,155,,,1,
5,40,Directed,156,,,1,
5,42,Directed,157,,,4,
5,45,Directed,158,,,3,
5,51,Directed,159,,,1,
5,54,Directed,160,,,4,
5,71,Directed,161,,,2,
5,96,Directed,162,,,1,
5,102,Directed,163,,,2,
5,114,Directed,164,,,10,
5,115,Directed,165,,,5,
5,117,Directed,166,,,1,
5,118,Directed,167,,,1,
5,121,Directed,168,,,1,
5,142,Directed,169,,,1,
5,155,Directed,170,,,1,
5,156,Directed,171,,,20,
5,159,Directed,172,,,1,
5,164,Directed,173,,,1,
6,0,Directed,174,,,2,
6,13,Directed,175,,,1,
6,14,Directed,176,,,5,
6,17,Directed,177,,,3,
6,20,Directed,178,,,1,
6,36,Directed,179,,,3,
6,37,Directed,180,,,3,
6,40,Directed,181,,,6,
6,46,Directed,182,,,1,
6,50,Directed,183,,,5,
6,51,Directed,184,,,2,
6,53,Directed,185,,,1,
6,54,Directed,186,,,2,
6,56,Directed,187,,,3,
6,64,Directed,188,,,1,
6,65,Directed,189,,,2,
6,71,Directed,190,,,3,
6,76,Directed,191,,,1,
6,92,Directed,192,,,1,
6,102,Directed,193,,,2,
6,108,Directed,194,,,2,
6,110,Directed,195,,,1,
6,117,Directed,196,,,4,
6,118,Directed,197,,,4,
6,120,Directed,198,,,2,
6,121,Directed,199,,,4,
6,122,Directed,200,,,3,
6,130,Directed,201,,,2,
6,138,Directed,202,,,6,
6,151,Directed,203,,,2,
6,153,Directed,204,,,5,
7,5,Directed,205,,,2,
7,19,Directed,206,,,2,
7,26,Directed,207,,,1,
7,28,Directed,208,,,1,
7,29,Directed,209,,,3,
7,49,Directed,210,,,1,
7,51,Directed,211,,,2,
7,54,Directed,212,,,4,
7,67,Directed,213,,,1,
7,68,Directed,214,,,3,
7,69,Directed,215,,,2,
