Source,Target,Weight,
0,6,1,
0,8,6,
0,13,2,
0,14,1,
0,17,1,
0,20,4,
0,38,2,
0,40,6,
0,45,4,
0,50,4,
0,51,7,
0,53,6,
0,54,13,
0,56,4,
0,64,3,
0,65,4,
0,70,2,
0,71,2,
0,85,1,
0,86,1,
0,102,4,
0,109,5,
0,110,1,
0,117,4,
0,118,4,
0,120,3,
0,121,7,
0,122,1,
0,128,2,
0,130,1,
0,134,3,
0,138,7,
0,142,3,
0,143,6,
0,151,6,
0,153,3,
0,162,1,
0,164,4,
2,0,2,
2,6,6,
2,13,2,
2,14,4,
2,17,2,
2,20,2,
2,33,6,
2,36,4,
2,37,2,
2,45,4,
2,46,8,
2,48,1,
2,50,1,
2,51,4,
2,53,1,
2,64,3,
2,65,4,
2,70,4,
2,76,3,
2,80,2,
2,97,1,
2,102,6,
2,108,4,
2,118,4,
2,120,4,
2,121,4,
2,122,6,
2,133,2,
2,143,2,
2,151,4,
2,153,4,
2,162,2,
6,0,2,
6,13,1,
6,14,5,
6,17,3,
6,20,1,
6,36,3,
6,37,3,
6,40,6,
6,46,1,
6,50,5,
6,51,2,
6,53,1,
6,54,2,
6,56,3,
6,64,1,
6,65,2,
6,71,3,
6,76,1,
6,92,1,
6,102,2,
6,108,2,
6,110,1,
6,117,4,
6,118,4,
6,120,2,
6,121,4,
6,122,3,
6,130,2,
6,138,6,
6,151,2,
6,153,5,
8,14,1,
8,17,1,
8,20,1,
8,33,1,
8,37,2,
8,38,6,
8,40,2,
8,45,1,
8,48,1,
8,50,1,
8,51,6,
8,54,13,
8,56,1,
8,64,12,
8,65,1,
8,70,2,
8,71,9,
8,80,2,
8,85,1,
8,97,1,
8,102,3,
8,109,4,
8,117,3,
8,118,2,
8,120,2,
8,121,1,
8,122,3,
8,128,2,
8,130,3,
8,138,5,
8,142,5,
8,143,1,
8,151,5,
8,162,2,
8,164,2,
9,0,1,
9,8,3,
9,14,3,
9,20,2,
9,33,2,
9,37,1,
9,45,2,
9,50,7,
9,51,1,
9,54,6,
9,64,6,
9,70,2,
9,71,4,
9,76,1,
9,84,1,
9,92,1,
9,97,1,
9,108,1,
9,109,3,
9,110,4,
9,117,5,
9,118,5,
9,121,4,
9,122,2,
9,130,2,
9,133,7,
9,142,2,
9,143,1,
9,151,3,
9,162,7,
13,0,1,
13,6,1,
13,8,4,
13,17,2,
13,20,3,
13,33,2,
13,37,4,
13,40,1,
13,45,2,
13,46,1,
13,50,1,
13,51,3,
13,53,1,
13,54,2,
13,56,1,
13,71,2,
13,80,1,
13,86,2,
13,97,2,
13,102,8,
13,109,2,
13,110,3,
13,117,1,
13,121,2,
13,128,2,
13,133,1,
13,134,1,
13,138,4,
13,142,4,
13,143,2,
13,153,4,
13,162,3,
14,0,1,
14,6,1,
14,17,3,
14,20,4,
14,33,2,
14,40,3,
14,45,1,
14,46,1,
14,50,1,
14,51,7,
14,54,8,
14,56,1,
14,71,3,
14,102,9,
14,109,1,
14,117,5,
14,118,2,
14,121,1,
14,122,2,
14,128,2,
14,130,2,
14,138,6,
14,142,2,
14,143,4,
14,151,2,
14,162,4,
14,164,3,
17,6,1,
