id,label,matches,goals_for,goals_against,wins,losses,per_win,per_loss
0,Albania,188,146,365,46,142,0.24468085106382978,0.7553191489361702
1,Algeria,207,352,229,126,81,0.6086956521739131,0.391304347826087
2,Andorra,111,26,339,3,108,0.02702702702702703,0.972972972972973
3,Angola,150,217,176,83,67,0.5533333333333333,0.44666666666666666
4,Antigua and Barbuda,111,167,226,41,70,0.36936936936936937,0.6306306306306306
5,Argentina,421,993,454,312,109,0.7410926365795725,0.2589073634204275
6,Armenia,117,118,229,32,85,0.27350427350427353,0.7264957264957265
7,Australia,199,584,178,143,56,0.7185929648241206,0.2814070351758794
8,Austria,259,504,376,147,112,0.5675675675675675,0.43243243243243246
9,Azerbaijan,106,58,258,15,91,0.14150943396226415,0.8584905660377359
10,Bahrain,228,306,342,102,126,0.4473684210526316,0.5526315789473685
11,Bangladesh,138,114,340,37,101,0.26811594202898553,0.7318840579710145
12,Barbados,105,144,170,46,59,0.4380952380952381,0.5619047619047619
13,Belarus,109,119,189,36,73,0.3302752293577982,0.6697247706422018
14,Belgium,258,526,304,167,91,0.6472868217054264,0.35271317829457366
15,Benin,103,112,202,35,68,0.33980582524271846,0.6601941747572816
16,Bolivia,238,245,586,64,174,0.2689075630252101,0.7310924369747899
17,Bosnia and Herzegovina,117,211,157,65,52,0.5555555555555556,0.4444444444444444
18,Botswana,103,92,170,33,70,0.32038834951456313,0.6796116504854369
19,Brazil,422,1083,416,325,97,0.7701421800947867,0.22985781990521326
20,Bulgaria,266,429,431,139,127,0.5225563909774437,0.4774436090225564
21,Burkina Faso,147,180,226,64,83,0.43537414965986393,0.564625850340136
22,Burma,221,439,328,129,92,0.583710407239819,0.416289592760181
23,Burundi,120,138,172,50,70,0.4166666666666667,0.5833333333333334
24,Cambodia,154,173,447,40,114,0.2597402597402597,0.7402597402597403
25,Cameroon,241,419,221,169,72,0.7012448132780082,0.2987551867219917
26,Canada,135,211,194,73,62,0.5407407407407407,0.45925925925925926
27,Cape Verde,105,112,139,46,59,0.4380952380952381,0.5619047619047619
28,Chile,347,566,560,166,181,0.4783861671469741,0.521613832853026
29,China PR,234,529,203,155,79,0.6623931623931624,0.33760683760683763
30,Colombia,238,310,342,120,118,0.5042016806722689,0.4957983193277311
31,Congo,169,220,237,80,89,0.47337278106508873,0.5266272189349113
32,Costa Rica,292,608,330,187,105,0.6404109589041096,0.3595890410958904
33,Croatia,137,278,120,103,34,0.7518248175182481,0.24817518248175183
34,Cuba,178,301,319,88,90,0.4943820224719101,0.5056179775280899
35,Curaçao,152,243,304,62,90,0.40789473684210525,0.5921052631578947
36,Cyprus,230,196,612,48,182,0.20869565217391303,0.7913043478260869
37,Czech Republic,155,319,148,108,47,0.6967741935483871,0.3032258064516129
38,Czechoslovakia,164,343,200,103,61,0.6280487804878049,0.3719512195121951
